网络类型,授权方向,授权策略,IP协议,端口范围,优先级,源IP地址段,源IPv6地址段,源安全组,源端安全组名称,源安全组所属阿里云账户ID,源端端口范围,目标IP地址段,目的IPv6地址段,目标安全组,目的端安全组名称,目标安全组所属阿里云账户ID,描述信息,创建时间（UTC）,,,所属安全组,所属安全组名称
intranet,ingress,Accept,ALL,-1/-1,1,47.97.125.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.27.211.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.195.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.99.43.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.98.251.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.162.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.98.39.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.40.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,116.62.172.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.106.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.98.51.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.119.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.185.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.179.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.27.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,114.55.125.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.196.211.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.174.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.73.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.149.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.60.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,101.37.152.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.38.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.43.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.238.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,100.104.244.0/24,,,,,,,,,,,,2021-06-01T16:54:07Z,,,,
